t ,hm, hest, vest, Nest, dest, actualwished
4.42861, -0.002, 0.013464, 0.0926486, 0.0564584, 0.00787481, -0.0114629, -0.157433
4.44678, -0.011, 0.00981039, 0.0607626, 0.0601573, 0.0107162, -0.0114629, -0.182346
4.4684, 0.012, 0.00272728, 0.00642605, 0.0660327, 0.0151625, -0.0114629, -0.222951
4.49092, 0.027, 0.00683021, 0.0312898, 0.0633347, 0.0130631, -0.0114629, -0.204077
4.5108, 0.009, 0.015051, 0.0828521, 0.0580276, 0.00903356, -0.0109609, -0.166433
4.53063, -0.019, 0.0144352, 0.0712876, 0.0595713, 0.0102274, -0.0109609, -0.176252
4.56007, -0.009, 0.0067897, 0.0147403, 0.0656209, 0.0148006, -0.0109609, -0.218265
4.58006, 0.01, -0.00189293, -0.0493032, 0.0721599, 0.0196468, -0.0109609, -0.264318
4.601, 0.012, 0.00264534, -0.017499, 0.0682959, 0.0165605, -0.0109609, -0.238344
4.62098, -0.028, 0.00581762, 0.0031213, 0.0659323, 0.0146922, -0.0118046, -0.22213
4.64197, 0.005, -0.00753589, -0.0894781, 0.0754257, 0.0218111, -0.0118046, -0.289156
4.66105, -0.009, -0.00475593, -0.0668222, 0.0724702, 0.0194376, -0.0118046, -0.269799
4.68195, -0.011, -0.00784876, -0.0846341, 0.0738155, 0.0203316, -0.0118046, -0.280483
4.69661, 0.017, -0.00996161, -0.0956647, 0.0745531, 0.0207938, -0.0118046, -0.286684
4.72097, 0.006, 5.66257e-05, -0.0211875, 0.0660965, 0.0142467, -0.0115194, -0.228955
4.74188, -0.009, 0.001971, -0.00705919, 0.0644945, 0.0129943, -0.0115194, -0.217999
4.76096, -0.013, -0.00207635, -0.0342086, 0.0672734, 0.0150706, -0.0115194, -0.237652
4.78095, -0.003, -0.00687465, -0.0646403, 0.0702367, 0.0172534, -0.0115194, -0.259011
4.80196, 0.008, -0.00669765, -0.0590417, 0.0692754, 0.0164367, -0.0115194, -0.253223
4.82184, 0.007, -0.00234009, -0.0254684, 0.0654811, 0.0134989, -0.0120356, -0.227317
4.84489, -0.033, -0.000839738, -0.0142671, 0.0642627, 0.0125684, -0.0120356, -0.218896
4.86962, 0.001, -0.0250133, -0.175262, 0.0808848, 0.0250977, -0.0120356, -0.336244
4.99839, 0.022, -0.0186999, -0.120565, 0.0742403, 0.0198854, -0.012446, -0.292006
5.00883, -0.006, 0.0573222, 0.44724, 0.0117141, -0.0279643, -0.012446, 0.138479
5.02952, -0.003, 0.0406435, 0.305781, 0.0295598, -0.0138143, 0.026, 0.0207764
5.04419, 0.016, 0.0331537, 0.241705, 0.0381156, -0.00749032, 0.026, -0.0342568
5.06283, -0.004, 0.0316166, 0.216669, 0.0427432, -0.0042608, 0.026, -0.0611521
5.08095, 0.006, 0.0254385, 0.164456, 0.0494506, 0.000578431, 0.026, -0.104681
5.10061, -0.02, 0.0205541, 0.115977, 0.0563225, 0.00527964, 0.026, -0.147595
5.11976, 0.022, 0.00823776, 0.0222959, 0.0671223, 0.0129821, 0.026, -0.220239
5.12976, 0.005, 0.0108104, 0.037234, 0.0658131, 0.0117253, -0.0112382, -0.21008
5.17783, -0.01, 0.00778822, 0.00302471, 0.0690519, 0.0141543, -0.0112382, -0.23318
5.19954, -0.002, -0.0011924, -0.0633815, 0.0755008, 0.018962, -0.0112382, -0.279434
5.22873, -0.008, -0.00264949, -0.0728002, 0.0758424, 0.0191117, -0.0112382, -0.283297
5.24876, 0.003, -0.00814314, -0.107594, 0.0783342, 0.0208043, -0.0129849, -0.303467
5.28081, 0, -0.00475785, -0.0771698, 0.073714, 0.0171224, -0.0129849, -0.274549
5.30551, 0.008, -0.00447083, -0.0711664, 0.0723632, 0.0160313, -0.0129849, -0.266873
5.33073, 0.013, -4.49665e-05, -0.0362811, 0.0679836, 0.0126639, -0.0129849, -0.237981
5.36247, -0.007, 0.00658499, 0.0115903, 0.0625066, 0.0085379, -0.0117473, -0.200755
5.37866, -0.007, 0.00326804, -0.0114796, 0.0649051, 0.010381, -0.0117473, -0.217649
5.40962, -0.001, -0.00363191, -0.0571934, 0.0694377, 0.0138365, -0.0117473, -0.250155
5.4368, -0.004, -0.00383839, -0.0535302, 0.0685448, 0.0131197, -0.0117473, -0.245241
5.47597, -0.015, -0.00457745, -0.0560399, 0.0685907, 0.0131408, -0.0127438, -0.246157
5.50859, -0.012, -0.0169568, -0.129763, 0.0753806, 0.0182506, -0.0127438, -0.296395
5.52989, 0.009, -0.0180727, -0.122741, 0.0735322, 0.0167279, -0.0127438, -0.286462
5.55408, 0.008, -0.00863205, -0.0468926, 0.0648917, 0.0101335, -0.0127438, -0.227806
5.58071, -0.011, -0.00152579, 0.00837845, 0.0589485, 0.0057006, -0.0120356, -0.186743
5.60949, -0.008, -0.00643057, -0.0220974, 0.0623833, 0.00843069, -0.0120356, -0.210498
5.63153, 0.016, -0.00747246, -0.0254249, 0.0627299, 0.00874708, -0.0120356, -0.213114
5.65314, -0.015, 0.000860234, 0.0349172, 0.0564499, 0.00405705, -0.0120356, -0.169108
5.68065, 0.01, -0.00734295, -0.0206394, 0.0627307, 0.00898435, -0.0134129, -0.212272
5.7087, -0.018, -0.000684222, 0.0280053, 0.0576385, 0.00521382, -0.0134129, -0.176706
5.73629, 0.001, -0.0107662, -0.0400558, 0.0651133, 0.0110643, -0.0134129, -0.228562
5.75888, -0.019, -0.00665838, -0.00740256, 0.0615364, 0.00840479, -0.0134129, -0.204029
5.79719, -0.008, -0.0103466, -0.0306314, 0.063972, 0.0103011, -0.013661, -0.221237
5.81865, -0.005, -0.00974421, -0.0182039, 0.0624462, 0.00926184, -0.013661, -0.211455
5.84146, 0.021, -0.00810598, -0.00352562, 0.0608992, 0.00817062, -0.013661, -0.200813
5.89527, -0.014, 0.000517853, 0.0566004, 0.0547113, 0.00356605, -0.0112941, -0.157229
5.91547, 0.025, -0.0118095, -0.0319089, 0.065197, 0.011811, -0.0112941, -0.22807
5.9387, 0.003, -0.000210137, 0.0493749, 0.0566596, 0.00536091, -0.0112941, -0.168276
5.96984, 0.001, 0.00397399, 0.0737062, 0.0548141, 0.00413858, -0.0112941, -0.153659
5.99875, -0.004, 0.00416809, 0.0727436, 0.0551688, 0.00446569, -0.012446, -0.15552
6.01223, 0.011, 0.00161048, 0.048734, 0.0583254, 0.00703766, -0.012446, -0.176098
6.04203, 0.031, 0.00833036, 0.0895844, 0.0544607, 0.0042424, -0.012446, -0.147934
6.06998, 0.038, 0.0228498, 0.179441, 0.0457931, -0.00212528, -0.012446, -0.0851806
6.09337, -0.015, 0.0319712, 0.22914, 0.0415697, -0.005097, -0.012446, -0.0529749
6.11729, -0.003, 0.0158828, 0.100367, 0.056397, 0.00641799, -0.0134129, -0.153501
6.16705, 0.011, 0.00936259, 0.0450241, 0.0626016, 0.0112354, -0.0134129, -0.195838
6.1806, 0.005, 0.0124728, 0.0548709, 0.0616232, 0.0105643, -0.0134129, -0.188538
6.20062, 0.019, 0.0107516, 0.0370725, 0.0635481, 0.0120601, -0.0122105, -0.201745
6.2296, -0.011, 0.0163253, 0.0675431, 0.0603802, 0.00967249, -0.0122105, -0.179212
6.25295, 0.006, 0.00589272, -0.0112713, 0.068761, 0.0160423, -0.0122105, -0.237519
6.29912, -0.005, 0.00573818, -0.0139958, 0.0688013, 0.0160244, -0.0122105, -0.23829
6.31734, 0.015, -0.00428098, -0.0857097, 0.075565, 0.0209958, -0.0128038, -0.28732
6.34006, -0.006, -0.00143306, -0.0646516, 0.0730294, 0.0190187, -0.0128038, -0.270312
6.36049, 0.004, -0.0054222, -0.0885993, 0.0747953, 0.0202273, -0.0128038, -0.28448
6.38007, -0.005, -0.00350975, -0.0709653, 0.0722723, 0.0182029, -0.0128038, -0.268436
6.40142, 0.023, -0.00603589, -0.0833872, 0.0729136, 0.0185829, -0.0128038, -0.274583
6.42095, 0.013, 0.0032364, -0.0156779, 0.06534, 0.0127798, -0.0111824, -0.222653
6.44712, 0.017, 0.004964, -0.00352623, 0.0640289, 0.011778, -0.0111824, -0.213544
6.47037, 0.012, 0.0119047, 0.0436714, 0.0590917, 0.00803779, -0.0111824, -0.17886
6.4843, 0, 0.0129058, 0.0472387, 0.0589946, 0.0080168, -0.0111824, -0.177457
6.51978, 0.018, 0.00571637, -0.00756138, 0.0651498, 0.0127499, -0.0125052, -0.21955
6.55866, -0.002, 0.0077524, 0.0061907, 0.0636726, 0.0116333, -0.0125052, -0.209266
6.58871, 0.019, -0.00101921, -0.0555396, 0.0700101, 0.0164488, -0.0125052, -0.254022
6.60953, -0.002, 0.00909921, 0.0178903, 0.0617942, 0.0101546, -0.0114065, -0.197681
6.63866, 0.015, 0.00525597, -0.00940011, 0.0647232, 0.0123841, -0.0114065, -0.21805
6.66155, 0.016, 0.0104835, 0.026683, 0.0608798, 0.00946125, -0.0114065, -0.191223
6.67963, -0.01, 0.0129145, 0.0414479, 0.0594838, 0.00843496, -0.0114065, -0.18103
6.70187, 0.009, 0.00415032, -0.0211359, 0.0662314, 0.0135779, -0.0114065, -0.227879
6.72098, 0.005, 0.00548249, -0.0111442, 0.0650546, 0.0126586, -0.0119776, -0.219933
